launch_utc,t0_utc,rocket_flight_time_s,ok,failure,first_orbit_shadow_min,no_shadow_period_shadow_min,separation_shadow_min,longest_shadow_min,min_burn_sun_margin_deg,max_tracking_gap_min,inclination_deg,constraint_results
2026-05-15T07:20:00Z,2026-05-15T07:55:34Z,2134.412,True,,14.0,0.0,14.0,31.0,24.08196249992109,713.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:22:00Z,2026-05-15T07:57:34Z,2134.412,True,,14.0,0.0,14.0,31.0,23.64726461038977,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:24:00Z,2026-05-15T07:59:34Z,2134.412,True,,14.0,0.0,14.0,31.0,23.211782460400798,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:26:00Z,2026-05-15T08:01:34Z,2134.412,True,,14.0,0.0,14.0,31.0,22.775531585340403,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:28:00Z,2026-05-15T08:03:34Z,2134.412,True,,14.0,0.0,14.0,31.0,22.338527588103332,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:30:00Z,2026-05-15T08:05:34Z,2134.412,True,,14.0,0.0,14.0,31.0,21.900785270528445,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:32:00Z,2026-05-15T08:07:34Z,2134.412,True,,14.0,0.0,14.0,31.0,21.46231923106022,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:34:00Z,2026-05-15T08:09:34Z,2134.412,True,,14.0,0.0,14.0,31.0,21.023143724639425,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:36:00Z,2026-05-15T08:11:34Z,2134.412,True,,13.0,0.0,13.0,30.0,20.583272529018345,714.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:38:00Z,2026-05-15T08:13:34Z,2134.412,True,,13.0,0.0,13.0,31.0,20.14271954039299,715.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:40:00Z,2026-05-15T08:15:34Z,2134.412,True,,13.0,0.0,13.0,31.0,19.701497897773933,715.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:42:00Z,2026-05-15T08:17:34Z,2134.412,True,,13.0,0.0,13.0,30.0,19.259620583786216,716.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:44:00Z,2026-05-15T08:19:34Z,2134.412,True,,13.0,0.0,13.0,31.0,18.8171002823764,716.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:46:00Z,2026-05-15T08:21:34Z,2134.412,True,,13.0,0.0,13.0,31.0,18.37394938982301,716.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:48:00Z,2026-05-15T08:23:34Z,2134.412,True,,13.0,0.0,13.0,30.0,17.930179872507424,716.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:50:00Z,2026-05-15T08:25:34Z,2134.412,True,,13.0,0.0,13.0,31.0,17.485803868700188,716.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
2026-05-15T07:52:00Z,2026-05-15T08:27:34Z,2134.412,True,,13.0,0.0,13.0,30.0,17.040832806146184,717.0,16.506137572551648,"[{""name"":""转移轨道 - 无地影"",""passed"":true,""enabled"":true},{""name"":""一远点测控 - 中继星可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第一次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第二次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第二次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第三次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第三次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第四次点火测控 - 地面站可见"",""passed"":true,""enabled"":true},{""name"":""第四次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true},{""name"":""第五次点火太阳角 - 太阳角"",""passed"":true,""enabled"":true}]"
